Index,Ticket ID,Customer Plan,Ticket Subject,Ticket Text,Priority Hint
30,KzP9SYUzm5,Pro,Company matching missed records,The workflow related to accounts from two CRMs reported some rows have empty phone numbers. This started after we exported from Pipedrive. We are testing this on a small file before running the full import. Could you help us tune the matching rules?,High
31,aliqI2fAMi,Free,Save AI prompts for the team,"Our team is working on research prompts, and we found we want fewer copy-paste mistakes. The affected rows are mostly from Canada. The same workflow worked last week. Can you confirm whether you can apply a template to new files?",High
32,FI2RKjEduO,Starter,Invoice has extra seats,A teammate checked two removed users and found the invoice was already sent to finance. We are using Firefox on iPadOS. The affected rows are mostly from Germany. This is blocking today's cleanup work. Can you confirm whether you can send a revised receipt?,Urgent
33,DvLx3K8BUV,Starter,Special characters look wrong,The workflow related to currency symbols reported the file may be Windows-1252. The upload file is a tab-separated file created during a migration test. This started after we exported from an internal admin tool. Finance is waiting for an answer. Please detect the right file encoding and let me know the next step.,High
34,JYF2pH8p5o,Free,Large export is slow,"After checking a full product table, we saw that the browser tab was closed by mistake. The affected rows are mostly from Germany. Finance is waiting for an answer. Can you help us export only visible columns?",Urgent
35,cyhIaLWZcU,Business,Export has been running too long,"I need help with a deduplicated lead list because we found the file is needed for a scheduled import. The file has 8,500 rows and 47 columns. The same workflow worked last week. What is the safest way to export only visible columns?",Medium
36,H4EBoNBKxn,Enterprise,Encoding issue in names,A teammate checked smart quotes and found the export was saved on a Windows laptop. The workspace has 58 active users. This started after we exported from Airtable. I can share a sample row if needed. What is the safest way to re-export the file correctly?,High
37,5mUKrchpW9,Pro,Special characters look wrong,"After checking German company names, we saw that some rows came from an old CRM export. The affected rows are mostly from the United Kingdom. We can work around it today, but need a reliable fix. Is there a way to detect the right file encoding?",Low
38,dyKzDYsqre,Enterprise,Billing amount looks wrong,I need help with two removed users because we found the card was charged this morning. The affected rows are mostly from Canada. We need this before a customer meeting. Could you help us confirm the active seats?,High
39,IKxPnojyM6,Enterprise,Encoding issue in names,I need help with French customer names because we found some rows came from an old CRM export. The upload file is a CSV created during a migration test. The affected rows are mostly from the United States. I can share a sample row if needed. Can you help us fix the encoding?,Urgent
40,vsztVIT7eb,Starter,Reusable prompt templates,"A teammate checked research prompts and found we need approvals before changing prompts. The affected rows are mostly from Brazil. This started after we exported from HubSpot. We can work around it today, but need a reliable fix. Can you confirm whether you can save reusable templates?",Medium
41,X9clLIOtP8,Enterprise,Webhook failed during enrichment,The workflow related to email addresses reported the run stopped overnight. The upload file is a Excel export created during a migration test. We need this before a customer meeting. Please show failed rows and let me know the next step.,High
42,cv7iwCuQy0,Starter,Password reset did not work,"After checking a new SSO user, we saw that SSO redirects to the wrong workspace. The affected rows are mostly from multiple EMEA offices. The file has 1,200 rows and 120 columns. The issue affects one workspace, but not another. Can you confirm whether you can restore access?",High
43,YR8DZRVSVo,Pro,Billing amount looks wrong,"We ran into an issue with two removed users: the change was made last month. The file has 24,000 rows and 86 columns. The same workflow worked last week. Is there a way to confirm the active seats?",Medium
44,WPjH3r5ut4,Starter,Rows split into extra columns,"The workflow related to a supplier spreadsheet reported quoted values from Excel. We are using Edge on iPadOS. The workspace has 26 active users. The issue affects one workspace, but not another. What is the safest way to upload the file safely?",Medium
45,kWjVHV0ilh,Starter,Scheduled enrichment did not finish,"While preparing phone numbers for a deadline, we found credits were consumed before the failure. The upload file is a CSV created last Friday. We are using Chrome on Windows. The same workflow worked last week. Can you confirm whether you can disable auto-run temporarily?",Urgent
46,R3sL0keAsM,Starter,Webhook failed during enrichment,"The workflow related to phone numbers reported auto-run did not pick up new rows. The affected rows are mostly from Germany. The file has 1,000,000 rows and 12 columns. I can share a sample row if needed. Is there a way to resume from the failed rows?",Low
47,8xVm5YCc6U,Starter,Large export is slow,We ran into an issue with a full product table: the file is needed for a scheduled import. The upload file is a Excel export created this morning. We are testing this on a small file before running the full import. Please speed up the export and let me know the next step.,Urgent
48,yrZwbFEPhZ,Starter,Company matching missed records,"After checking names with typos, we saw that some rows have empty phone numbers. We are using Chrome on Ubuntu. The file has 8,500 rows and 86 columns. The same workflow worked last week. What should we check before we export a change log?",High
49,Nq51SjJ64N,Pro,Cannot access workspace,"The workflow related to the owner account reported the reset email never arrived. The upload file is a tab-separated file created from a nightly export. It is not urgent, but it affects several users. Is there a way to send a recovery link?",Low
50,kiVxAa2ete,Starter,Webhook failed during enrichment,I need help with company domains because we found only some rows were processed. This started after we exported from Airtable. Finance is waiting for an answer. Is there a way to avoid duplicate charges?,Urgent
51,rHpufh9m1Z,Pro,Special characters look wrong,"I need help with currency symbols because we found UTF-8 worked in Excel but not after upload. The affected rows are mostly from the United States. This started after we exported from HubSpot. We can work around it today, but need a reliable fix. What is the safest way to detect the right file encoding?",Low
52,dtAjRS10ju,Free,Need help merging duplicate rows,"A teammate checked domains with tracking parameters and found one source has old values. The file has 1,000,000 rows and 86 columns. We are testing this on a small file before running the full import. What should we check before we ignore empty fields during merge?",Medium
53,oqCLfLLw29,Pro,Company matching missed records,The workflow related to contacts with two emails reported the same company appears with local branches. The upload file is a semicolon CSV created yesterday. Finance is waiting for an answer. Please export a change log and let me know the next step.,High
54,oOTLWPpksS,Business,Locked out after email change,A teammate checked my admin account and found the invite link has expired. The affected rows are mostly from the United Kingdom. The sales team is waiting for the cleaned file. Can you confirm whether you can check the SSO configuration?,Medium
55,AEJyGHlQAw,Enterprise,Prompt library request,The workflow related to cleaning prompts reported different teammates need the same instructions. The upload file is a semicolon CSV created last Friday. We need this before a customer meeting. Can you help us compare prompt outputs?,Urgent
56,BkHxkRkvF9,Free,Need help merging duplicate rows,"I need help with companies with legal suffixes because we found the same company appears with local branches. The file has 24,000 rows and 47 columns. We are using Safari on iPadOS. The sales team is waiting for the cleaned file. What should we check before we keep the newest value?",High
57,4cbj0dRgXA,Business,Rows split into extra columns,"After checking a product catalog, we saw that commas in the notes field. The upload file is a tab-separated file created after a scheduled sync. I can share a sample row if needed. Can you confirm whether you can recover the original columns?",Medium
58,wQA0Ua9pmV,Free,Billing amount looks wrong,"While preparing a duplicate subscription for a deadline, we found the renewal date is tomorrow. This started after we exported from Pipedrive. This is blocking today's cleanup work. Please confirm the active seats and let me know the next step.",Low
59,25slhO4GBu,Starter,Export has been running too long,"A teammate checked an enriched company table and found the export must include all columns. This started after we exported from Pipedrive. We are using Firefox on macOS. We can work around it today, but need a reliable fix. Could you help us speed up the export?",Medium
60,RblAOSnF9u,Enterprise,Invoice has extra seats,We ran into an issue with a canceled add-on: the change was made last month. The affected rows are mostly from France. We are using Edge on Ubuntu. We need this before a customer meeting. Please update billing before renewal and let me know the next step.,Low
61,UBLhT2lkGS,Free,Encoding issue in names,"While preparing French customer names for a deadline, we found UTF-8 worked in Excel but not after upload. The file has 1,200 rows and 47 columns. The issue affects one workspace, but not another. Is there a way to convert the file to clean UTF-8?",Low
62,daiDsVc0Hc,Business,Encoding issue in names,A teammate checked Italian city names and found UTF-8 worked in Excel but not after upload. The workspace has 14 active users. I can share a sample row if needed. Is there a way to keep accents readable?,High
63,fmM81dZo5Z,Business,Scheduled enrichment did not finish,"Our team is working on LinkedIn URLs, and we found the run stopped overnight. The workspace has 14 active users. We are testing this on a small file before running the full import. What should we check before we disable auto-run temporarily?",High
64,dhP0rjX3As,Free,Cannot access workspace,"We ran into an issue with a new SSO user: the reset email never arrived. We are using Chrome on macOS. The issue affects one workspace, but not another. Is there a way to check the SSO configuration?",Urgent
65,qkkAaZXt2c,Enterprise,Broken accents after import,A teammate checked German company names and found UTF-8 worked in Excel but not after upload. The upload file is a semicolon CSV created this morning. We are testing this on a small file before running the full import. Can you confirm whether you can list the characters that changed?,Medium
66,DZQkUjAl9V,Pro,Encoding issue in names,"The workflow related to Portuguese product descriptions reported UTF-8 worked in Excel but not after upload. This started after we exported from Excel. The issue affects one workspace, but not another. Can you confirm whether you can fix the encoding?",Low
67,cH8QzntHgN,Pro,Scheduled enrichment did not finish,The workflow related to email addresses reported the run stopped overnight. The workspace has 7 active users. The same workflow worked last week. Is there a way to explain the error?,High
68,CmSX3KM5L5,Enterprise,Need help merging duplicate rows,A teammate checked accounts from two CRMs and found the duplicate groups look too strict. We are using Safari on Windows. Finance is waiting for an answer. Is there a way to merge the best values?,High
69,3hd8QT5JFn,Free,Locked out after email change,I need help with my admin account because we found the reset email never arrived. The workspace has 7 active users. We are using Safari on Windows. Finance is waiting for an answer. Is there a way to update the login email?,Urgent
70,dml3CpMehU,Business,Auto-run stopped processing rows,A teammate checked company domains and found auto-run did not pick up new rows. This started after we exported from Excel. Finance is waiting for an answer. Can you confirm whether you can restart the run?,Urgent
71,SBQfZF38Sy,Starter,Scheduled enrichment did not finish,A teammate checked LinkedIn URLs and found only some rows were processed. This started after we exported from Airtable. The affected rows are mostly from Germany. The sales team is waiting for the cleaned file. What should we check before we explain the error?,High
72,SaUvxnSjQ7,Free,Need help merging duplicate rows,"While preparing contacts with two emails for a deadline, we found the same company appears with local branches. This started after we exported from Google Sheets. It is not urgent, but it affects several users. Can you confirm whether you can tune the matching rules?",Urgent
73,Jdc3Ub1WTl,Business,Billing amount looks wrong,"During a cleanup involving a trial account, we found the renewal date is tomorrow. We are using Safari on Windows. Finance is waiting for an answer. Please apply the credit to the next invoice and let me know the next step.",Medium
74,WuVuvAwz3h,Enterprise,Commas broke my import,A teammate checked a supplier spreadsheet and found tabs copied from Google Sheets. This started after we exported from Google Sheets. I can share a sample row if needed. Can you confirm whether you can identify the failed rows?,High
75,tKpLypdq3q,Starter,Need CSV export before meeting,I need help with an enriched company table because we found the browser tab was closed by mistake. The upload file is a CSV created after a scheduled sync. Finance is waiting for an answer. Could you help us export only visible columns?,High
76,k8aOJBmzMu,Enterprise,Duplicates are not detected,"After checking contacts with two emails, we saw that some rows have empty phone numbers. The workspace has 26 active users. We are testing this on a small file before running the full import. What is the safest way to ignore empty fields during merge?",Medium
77,kOvEi03sTC,Business,Duplicates are not detected,"Our team is working on leads from event lists, and we found some URLs include tracking parameters. This started after we exported from Airtable. Finance is waiting for an answer. Could you help us preview duplicate groups?",Urgent
78,4zyx8v55Tx,Enterprise,Save AI prompts for the team,"During a cleanup involving lead scoring prompts, we found we need approvals before changing prompts. The affected rows are mostly from multiple EMEA offices. We need this before a customer meeting. Please save reusable templates and let me know the next step.",Medium
79,sxJxWZVxWR,Free,Scheduled enrichment did not finish,"While preparing new leads for a deadline, we found only some rows were processed. The workspace has 14 active users. The sales team is waiting for the cleaned file. What should we check before we resume from the failed rows?",Medium
80,awczwQeuYq,Enterprise,Commas broke my import,"The workflow related to a customer export reported semicolon delimiters from our ERP. The file has 8,500 rows and 12 columns. The same workflow worked last week. What is the safest way to identify the failed rows?",Urgent
81,7IECMQtU1q,Pro,Commas broke my import,We ran into an issue with an order history file: tabs copied from Google Sheets. We are using Firefox on macOS. The file has 480 rows and 120 columns. We are testing this on a small file before running the full import. Please repair the import and let me know the next step.,High
82,cAWbHj720s,Business,Duplicates are not detected,"While preparing domains with tracking parameters for a deadline, we found the duplicate groups look too strict. We are using Safari on Ubuntu. The sales team is waiting for the cleaned file. Could you help us export a change log?",Medium
83,vLkvZBGIVA,Starter,Save AI prompts for the team,"After checking lead scoring prompts, we saw that we run the same prompt every week. The workspace has 58 active users. The same workflow worked last week. What should we check before we apply a template to new files?",Urgent
84,FtAeLSebaH,Enterprise,Save AI prompts for the team,"Our team is working on lead scoring prompts, and we found we want fewer copy-paste mistakes. We are using Edge on macOS. The upload file is a CSV created yesterday. The issue affects one workspace, but not another. What is the safest way to save reusable templates?",Low
85,75rctFh4s5,Starter,Webhook failed during enrichment,I need help with company domains because we found only some rows were processed. The affected rows are mostly from Spain. We need this before a customer meeting. Can you confirm whether you can disable auto-run temporarily?,Urgent
86,YTTHcOj0f4,Free,Cannot access workspace,"Our team is working on a contractor login, and we found the old email is no longer active. We are using Safari on macOS. I can share a sample row if needed. Could you help us restore access?",Low
87,qk7sTI6rjV,Pro,Billing amount looks wrong,"During a cleanup involving two removed users, we found the receipt does not match our purchase order. The workspace has 26 active users. The affected rows are mostly from France. I can share a sample row if needed. What is the safest way to confirm the active seats?",Medium
88,9uFAYgUNMf,Enterprise,Need CSV export before meeting,"I need help with a full product table because we found the export must include all columns. This started after we exported from HubSpot. The issue affects one workspace, but not another. Please confirm whether the export is still running and let me know the next step.",High
89,wguYlyOJyj,Pro,Need help merging duplicate rows,The workflow related to contacts with two emails reported some rows have empty phone numbers. The upload file is a tab-separated file created this morning. The same workflow worked last week. Is there a way to export a change log?,High
90,JJqP6OG2Hm,Enterprise,Scheduled enrichment did not finish,"While preparing company domains for a deadline, we found the run stopped overnight. This started after we exported from Excel. The same workflow worked last week. Could you help us restart the run?",High
91,l5xWhLVwwv,Pro,Company matching missed records,"While preparing domains with tracking parameters for a deadline, we found the same company appears with local branches. The file has 1,000,000 rows and 12 columns. We need this before a customer meeting. Can you confirm whether you can ignore empty fields during merge?",High
92,x4hmM6Ti8w,Business,Scheduled enrichment did not finish,"While preparing LinkedIn URLs for a deadline, we found credits were consumed before the failure. This started after we exported from Salesforce. The workspace has 3 active users. Finance is waiting for an answer. What should we check before we resume from the failed rows?",Medium
93,r52eCKl9g2,Starter,Reusable prompt templates,"While preparing classification prompts for a deadline, we found we test several LLM providers. This started after we exported from Airtable. The sales team is waiting for the cleaned file. Can you help us share prompts with the workspace?",Medium
94,GIUB1AeIDp,Pro,CSV columns shifted after upload,"The workflow related to a supplier spreadsheet reported commas in the notes field. We are using Safari on macOS. The upload file is a semicolon CSV created from a nightly export. We can work around it today, but need a reliable fix. Can you help us repair the import?",Medium
95,aR78wOGfgX,Enterprise,Encoding issue in names,"The workflow related to German company names reported the file may be Windows-1252. The file has 480 rows and 28 columns. The workspace has 7 active users. The issue affects one workspace, but not another. Can you confirm whether you can convert the file to clean UTF-8?",Medium
96,PKj0DfgJdp,Business,Rows split into extra columns,"During a cleanup involving a product catalog, we found tabs copied from Google Sheets. The workspace has 26 active users. The affected rows are mostly from France. We can work around it today, but need a reliable fix. Please repair the import and let me know the next step.",High
97,ZHd53jcTYj,Pro,CSV columns shifted after upload,"The workflow related to an order history file reported unescaped quotes in product descriptions. The upload file is a tab-separated file created last Friday. The file has 1,200 rows and 120 columns. Finance is waiting for an answer. Could you help us normalize the delimiter?",Urgent
98,rpInBkmbuB,Free,Webhook failed during enrichment,"After checking LinkedIn URLs, we saw that auto-run did not pick up new rows. The affected rows are mostly from the United Kingdom. The file has 24,000 rows and 28 columns. The issue affects one workspace, but not another. Can you help us resume from the failed rows?",Medium
99,ePr4xEu44t,Business,Special characters look wrong,"The workflow related to currency symbols reported UTF-8 worked in Excel but not after upload. This started after we exported from Excel. It is not urgent, but it affects several users. Could you help us keep accents readable?",Low
100,IYmotmVQHG,Enterprise,Company matching missed records,"While preparing domains with tracking parameters for a deadline, we found the same company appears with local branches. The file has 24,000 rows and 12 columns. We are using Edge on macOS. We need this before a customer meeting. What should we check before we preview duplicate groups?",High
